Order_ID,Order_Date,Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Warehouse,Region,Quantity_Ordered,Quantity_Sold,Unit_Cost,Unit_Price,Inventory_Level,Reorder_Level,Lead_Time_Days,Delivery_Days,Order_Status,Shipping_Cost,Defective_Units
ORD100019,2025-09-26,P013,Marker Set,Stationery,S007,Global Goods India,Mumbai WH,West,9,5,111.63,202.62,31,20,4,3,Completed,138.02,0
ORD100020,2025-05-28,P015,Backpack,Accessories,S005,Urban Supply Co,Bengaluru WH,South,6,6,718.6,1287.14,45,15,3,1,Completed,132.33,1
ORD100021,2025-04-11,P007,Office Chair,Furniture,S006,National Distributors,Hyderabad WH,South,6,4,4952.42,7045.95,4,7,11,11,Completed,98.6,0
ORD100022,2025-12-11,P020,Yoga Mat,Sports,S005,Urban Supply Co,Delhi WH,North,19,18,456.46,790.76,91,27,8,11,Completed,271.01,0
ORD100023,2025-09-08,P018,Desk Organizer,Accessories,S004,Reliable Traders,Hyderabad WH,South,20,0,143.68,298.25,42,29,14,,Pending,235.28,0
ORD100024,2025-01-09,P016,Laptop Sleeve,Accessories,S005,Urban Supply Co,Mumbai WH,West,17,15,342.04,662.16,44,29,8,8,Completed,202.54,1
ORD100025,2025-07-30,P003,USB-C Cable,Electronics,S007,Global Goods India,Pune WH,West,18,18,124.23,252.02,53,38,14,13,Completed,110.92,0
ORD100026,2025-06-13,P010,Desk Lamp,Furniture,S001,TechSource India,Delhi WH,North,15,0,646.71,1049.16,25,19,5,,Cancelled,135.62,0
ORD100027,2025-04-01,P001,Wireless Mouse,Electronics,S001,TechSource India,Hyderabad WH,South,9,8,84.64,145.75,20,27,11,11,Completed,109.85,0
ORD100028,2025-10-15,P003,USB-C Cable,Electronics,S004,Reliable Traders,Pune WH,West,23,18,114.52,245.83,82,36,3,6,Completed,210.58,0
ORD100029,2025-09-07,P014,Printer Paper,Stationery,S005,Urban Supply Co,Delhi WH,North,21,1,202.14,359.49,136,39,2,,Pending,240.57,0
ORD100030,2025-06-18,P015,Backpack,Accessories,S002,Prime Components,Bengaluru WH,South,8,6,712.19,1295.1,13,19,12,11,Completed,146.66,0
ORD100031,2025-05-15,P020,Yoga Mat,Sports,S005,Urban Supply Co,Hyderabad WH,South,21,21,440.34,816.31,45,30,8,7,Completed,229.37,0
ORD100032,2025-03-23,P006,LED Monitor,Electronics,S001,TechSource India,Pune WH,West,7,7,7125.24,10591.97,19,7,2,4,Completed,97.19,0
ORD100033,2025-08-17,P008,Study Table,Furniture,S002,Prime Components,Mumbai WH,West,9,6,3223.56,5239.56,23,8,6,9,Completed,152.68,0
ORD100034,2025-11-08,P010,Desk Lamp,Furniture,S004,Reliable Traders,Delhi WH,North,11,10,663.89,1109.95,73,29,5,7,Completed,99.7,1
ORD100035,2025-08-28,P003,USB-C Cable,Electronics,S001,TechSource India,Hyderabad WH,South,21,0,116.87,246.27,70,41,9,,Pending,159.53,0
ORD100036,2025-01-05,P003,USB-C Cable,Electronics,S006,National Distributors,Hyderabad WH,South,17,16,109.09,247.04,87,37,7,9,Completed,138.24,0
ORD100037,2025-09-02,P010,Desk Lamp,Furniture,S005,Urban Supply Co,Bengaluru WH,South,11,9,648.39,1098.56,67,21,11,14,Completed,117.12,0
ORD100038,2025-06-09,P004,Bluetooth Speaker,Electronics,S005,Urban Supply Co,Mumbai WH,West,12,10,936.1,1532.2,32,12,6,8,Completed,158.14,0
ORD100039,2025-09-06,P014,Printer Paper,Stationery,S005,Urban Supply Co,Pune WH,West,21,0,209.91,348.47,42,26,2,,Cancelled,150.02,0
ORD100040,2025-05-19,P010,Desk Lamp,Furniture,S006,National Distributors,Bengaluru WH,South,20,19,655.69,1054.5,78,29,13,12,Completed,208.62,0
ORD100041,2025-06-01,P017,Water Bottle,Accessories,S006,National Distributors,Hyderabad WH,South,23,21,183.22,346.88,68,50,3,4,Completed,284.92,0
ORD100042,2025-06-14,P014,Printer Paper,Stationery,S006,National Distributors,Mumbai WH,West,20,16,202.8,340.19,83,30,12,11,Completed,260.28,0
ORD100043,2025-08-16,P006,LED Monitor,Electronics,S002,Prime Components,Hyderabad WH,South,9,1,7281.05,9961.27,16,7,14,,Pending,117.89,0
ORD100044,2025-11-03,P017,Water Bottle,Accessories,S006,National Distributors,Mumbai WH,West,28,27,177.09,367.62,65,52,14,12,Completed,197.58,0
ORD100045,2025-11-27,P016,Laptop Sleeve,Accessories,S002,Prime Components,Pune WH,West,12,1,337.23,698.47,79,26,15,,Pending,114.09,0
ORD100046,2025-03-06,P008,Study Table,Furniture,S001,TechSource India,Delhi WH,North,6,6,3057.67,4874.5,15,6,3,3,Completed,97.01,0
ORD100047,2025-01-25,P005,Power Bank,Electronics,S008,Apex Supplies,Bengaluru WH,South,13,13,715.64,1199.81,68,22,13,15,Completed,106.26,0
ORD100048,2025-10-31,P014,Printer Paper,Stationery,S002,Prime Components,Delhi WH,North,21,13,223.93,348.97,60,40,15,15,Completed,164.6,1
ORD100049,2025-10-13,P003,USB-C Cable,Electronics,S001,TechSource India,Hyderabad WH,South,23,23,123.33,252.51,27,30,8,11,Completed,308.3,1
ORD100050,2025-04-12,P003,USB-C Cable,Electronics,S003,Metro Wholesale,Pune WH,West,16,15,124.77,241.59,31,31,7,8,Completed,211.84,1
ORD100051,2025-02-16,P001,Wireless Mouse,Electronics,S008,Apex Supplies,Bengaluru WH,South,17,12,89.24,146.62,44,28,10,12,Completed,154.07,0
ORD100052,2025-02-15,P016,Laptop Sleeve,Accessories,S007,Global Goods India,Mumbai WH,West,17,0,355.88,704.33,60,27,7,,Cancelled,214.99,0
ORD100053,2025-06-19,P014,Printer Paper,Stationery,S006,National Distributors,Bengaluru WH,South,18,16,207.46,347.01,62,30,5,8,Completed,226.68,1
ORD100054,2025-04-13,P015,Backpack,Accessories,S002,Prime Components,Mumbai WH,West,12,12,709.03,1351.08,12,14,7,5,Completed,198.82,0
ORD100055,2025-03-01,P016,Laptop Sleeve,Accessories,S006,National Distributors,Pune WH,West,12,0,357.18,705.68,70,21,15,,Cancelled,129.42,0
ORD100056,2025-10-23,P010,Desk Lamp,Furniture,S007,Global Goods India,Bengaluru WH,South,17,17,712.9,1089.07,23,21,12,13,Completed,243.71,0
ORD100057,2025-10-12,P012,Ball Pen Pack,Stationery,S003,Metro Wholesale,Bengaluru WH,South,36,35,53.82,97.67,62,48,9,10,Completed,240.89,0
ORD100058,2025-07-12,P003,USB-C Cable,Electronics,S003,Metro Wholesale,Delhi WH,North,19,15,114.87,248.78,64,48,6,7,Completed,270.89,0
ORD100059,2025-01-14,P002,Mechanical Keyboard,Electronics,S007,Global Goods India,Bengaluru WH,South,7,4,1507.73,2343.39,16,13,9,12,Completed,143.58,0
ORD100060,2025-02-20,P014,Printer Paper,Stationery,S002,Prime Components,Delhi WH,North,18,18,209.24,339.29,92,28,10,12,Completed,154.97,0
ORD100061,2025-09-13,P010,Desk Lamp,Furniture,S008,Apex Supplies,Delhi WH,North,10,10,654.44,1068.79,71,24,2,2,Completed,108.09,0
ORD100062,2025-05-17,P012,Ball Pen Pack,Stationery,S004,Reliable Traders,Pune WH,West,28,21,53.46,100.14,180,69,3,2,Completed,152.13,0
ORD100063,2025-05-27,P015,Backpack,Accessories,S006,National Distributors,Bengaluru WH,South,10,7,643.09,1250.17,28,24,10,12,Completed,138.41,0
ORD100064,2025-10-24,P013,Marker Set,Stationery,S003,Metro Wholesale,Bengaluru WH,South,22,21,112.72,197.82,66,24,11,11,Completed,172.99,0
ORD100065,2025-04-07,P011,Notebook Pack,Stationery,S006,National Distributors,Delhi WH,North,19,18,90.83,179.96,119,54,5,7,Completed,159.98,0
ORD100066,2025-12-23,P012,Ball Pen Pack,Stationery,S008,Apex Supplies,Pune WH,West,32,0,55.29,96.53,73,59,10,,Pending,303.14,0
ORD100067,2025-12-16,P006,LED Monitor,Electronics,S004,Reliable Traders,Pune WH,West,5,4,7249.68,10473.38,6,5,2,4,Completed,97.73,0
ORD100068,2025-08-06,P001,Wireless Mouse,Electronics,S002,Prime Components,Hyderabad WH,South,20,16,87.73,151.93,96,31,5,7,Completed,256.27,0
ORD100069,2025-04-17,P010,Desk Lamp,Furniture,S001,TechSource India,Delhi WH,North,8,7,644.24,1078.25,20,23,7,5,Completed,142.26,0
ORD100070,2025-12-26,P004,Bluetooth Speaker,Electronics,S008,Apex Supplies,Bengaluru WH,South,6,5,904.13,1640.37,10,11,10,11,Completed,83.12,1
ORD100071,2025-03-19,P009,Bookshelf,Furniture,S008,Apex Supplies,Pune WH,West,6,6,2869.45,4521.52,8,5,11,11,Completed,107.17,0
ORD100072,2025-11-12,P017,Water Bottle,Accessories,S006,National Distributors,Mumbai WH,West,31,24,176.99,359.2,80,40,9,10,Completed,165.49,2
ORD100073,2025-06-07,P004,Bluetooth Speaker,Electronics,S001,TechSource India,Delhi WH,North,9,8,1011.83,1580.64,11,14,9,11,Completed,137.51,1
ORD100074,2025-11-10,P001,Wireless Mouse,Electronics,S008,Apex Supplies,Delhi WH,North,16,15,78.03,148.96,67,21,15,17,Completed,209.74,0
ORD100075,2025-04-21,P005,Power Bank,Electronics,S004,Reliable Traders,Hyderabad WH,South,12,10,726.12,1165.9,8,19,15,15,Completed,107.82,1
ORD100076,2025-09-18,P005,Power Bank,Electronics,S002,Prime Components,Bengaluru WH,South,15,13,698.32,1186.4,63,21,10,11,Completed,159.59,0
ORD100077,2025-09-22,P014,Printer Paper,Stationery,S003,Metro Wholesale,Delhi WH,North,23,20,209.7,346.9,82,41,2,2,Completed,311.78,1
ORD100078,2025-05-16,P012,Ball Pen Pack,Stationery,S008,Apex Supplies,Mumbai WH,West,32,25,56.6,95.67,51,44,2,3,Completed,341.5,0
ORD100079,2025-01-11,P016,Laptop Sleeve,Accessories,S007,Global Goods India,Pune WH,West,13,13,345.89,698.53,53,23,11,10,Completed,160.74,0
ORD100080,2025-04-19,P014,Printer Paper,Stationery,S005,Urban Supply Co,Mumbai WH,West,13,13,222.57,362.52,124,43,13,14,Completed,218.89,0
ORD100081,2025-09-09,P009,Bookshelf,Furniture,S006,National Distributors,Hyderabad WH,South,4,4,2838.25,4318.84,4,5,3,1,Completed,90.68,0
ORD100082,2025-10-16,P016,Laptop Sleeve,Accessories,S007,Global Goods India,Hyderabad WH,South,12,8,344.16,695.39,78,26,13,16,Completed,85.82,0
ORD100083,2025-06-03,P003,USB-C Cable,Electronics,S006,National Distributors,Pune WH,West,20,17,119.81,255.85,121,35,9,8,Completed,281.55,1
ORD100084,2025-11-21,P001,Wireless Mouse,Electronics,S003,Metro Wholesale,Pune WH,West,16,16,83.05,151.37,29,20,15,13,Completed,116.22,0
ORD100085,2025-10-13,P002,Mechanical Keyboard,Electronics,S001,TechSource India,Pune WH,West,9,8,1488.24,2222.48,12,10,6,9,Completed,101.76,0
ORD100086,2025-02-07,P015,Backpack,Accessories,S001,TechSource India,Delhi WH,North,9,8,695.27,1301.18,54,24,12,12,Completed,147.89,0
ORD100087,2025-05-02,P010,Desk Lamp,Furniture,S002,Prime Components,Hyderabad WH,South,12,0,645.89,1139.17,48,16,3,,Cancelled,159.01,0
ORD100088,2025-07-10,P003,USB-C Cable,Electronics,S007,Global Goods India,Hyderabad WH,South,20,20,113.77,243.21,46,42,3,1,Completed,123.04,1
ORD100089,2025-01-07,P011,Notebook Pack,Stationery,S001,TechSource India,Pune WH,West,29,22,85.15,181.83,87,35,14,13,Completed,350.53,0
ORD100090,2025-04-10,P003,USB-C Cable,Electronics,S002,Prime Components,Bengaluru WH,South,24,19,121.54,254.17,129,38,6,7,Completed,247.03,0
ORD100091,2025-10-05,P014,Printer Paper,Stationery,S008,Apex Supplies,Bengaluru WH,South,22,21,212.59,343.42,48,33,8,11,Completed,327.29,0
ORD100092,2025-11-07,P010,Desk Lamp,Furniture,S004,Reliable Traders,Hyderabad WH,South,19,17,632.68,1141.2,41,20,9,11,Completed,187.2,0
ORD100093,2025-02-18,P008,Study Table,Furniture,S002,Prime Components,Hyderabad WH,South,8,1,3270.0,4915.3,22,7,12,,Pending,111.65,0
ORD100094,2025-08-06,P006,LED Monitor,Electronics,S007,Global Goods India,Hyderabad WH,South,4,4,7189.94,10374.34,17,7,5,4,Completed,59.33,0
ORD100095,2025-06-23,P013,Marker Set,Stationery,S008,Apex Supplies,Mumbai WH,West,11,10,104.96,191.56,70,23,10,10,Completed,103.84,0
ORD100096,2025-11-07,P007,Office Chair,Furniture,S005,Urban Supply Co,Mumbai WH,West,4,4,5018.22,7001.15,14,9,8,8,Completed,104.51,0
ORD100097,2025-10-31,P002,Mechanical Keyboard,Electronics,S001,TechSource India,Delhi WH,North,7,7,1437.73,2286.67,13,14,3,5,Completed,105.19,0
ORD100098,2025-12-13,P002,Mechanical Keyboard,Electronics,S006,National Distributors,Delhi WH,North,9,9,1410.7,2376.52,45,16,12,13,Completed,98.59,0
ORD100099,2025-12-03,P020,Yoga Mat,Sports,S007,Global Goods India,Bengaluru WH,South,12,12,432.19,813.48,40,33,15,17,Completed,170.84,1
ORD100100,2025-09-26,P018,Desk Organizer,Accessories,S008,Apex Supplies,Pune WH,West,15,1,138.46,302.75,65,35,4,,Pending,220.63,0
ORD100101,2025-03-31,P014,Printer Paper,Stationery,S005,Urban Supply Co,Bengaluru WH,South,17,11,208.42,350.09,45,34,3,1,Completed,187.26,0
ORD100102,2025-04-01,P005,Power Bank,Electronics,S008,Apex Supplies,Hyderabad WH,South,18,15,672.02,1203.15,46,16,10,11,Completed,134.09,0
ORD100103,2025-11-02,P020,Yoga Mat,Sports,S007,Global Goods India,Bengaluru WH,South,19,11,424.8,785.56,25,21,13,16,Completed,243.75,0
ORD100104,2025-09-12,P016,Laptop Sleeve,Accessories,S002,Prime Components,Hyderabad WH,South,16,16,360.59,744.79,29,31,4,7,Completed,148.78,0
ORD100105,2025-10-10,P015,Backpack,Accessories,S006,National Distributors,Bengaluru WH,South,19,0,685.27,1307.02,35,19,4,,Cancelled,214.16,0
ORD100106,2025-04-13,P010,Desk Lamp,Furniture,S006,National Distributors,Hyderabad WH,South,15,1,656.17,1105.05,33,21,13,,Pending,159.61,0
ORD100107,2025-12-03,P005,Power Bank,Electronics,S007,Global Goods India,Hyderabad WH,South,16,16,684.3,1184.12,62,19,5,6,Completed,124.58,0
ORD100108,2025-03-03,P002,Mechanical Keyboard,Electronics,S005,Urban Supply Co,Delhi WH,North,6,5,1499.25,2282.32,28,16,3,5,Completed,108.79,0
ORD100109,2025-10-24,P018,Desk Organizer,Accessories,S006,National Distributors,Hyderabad WH,South,20,20,130.13,295.9,38,31,7,9,Completed,153.71,0
ORD100110,2025-05-03,P010,Desk Lamp,Furniture,S005,Urban Supply Co,Pune WH,West,16,11,613.2,1060.62,33,28,12,11,Completed,165.11,0
ORD100111,2025-02-02,P003,USB-C Cable,Electronics,S003,Metro Wholesale,Mumbai WH,West,13,13,121.27,252.79,80,28,8,7,Completed,124.83,0
ORD100112,2025-10-27,P006,LED Monitor,Electronics,S004,Reliable Traders,Pune WH,West,6,5,7231.15,10247.75,14,6,2,3,Completed,116.91,0
ORD100113,2025-12-10,P012,Ball Pen Pack,Stationery,S008,Apex Supplies,Delhi WH,North,39,37,50.9,100.65,121,53,2,4,Completed,406.06,0
ORD100114,2025-12-20,P003,USB-C Cable,Electronics,S007,Global Goods India,Mumbai WH,West,31,22,125.82,240.85,98,32,2,4,Completed,284.63,0
ORD100115,2025-01-09,P017,Water Bottle,Accessories,S006,National Distributors,Bengaluru WH,South,20,18,190.59,354.75,154,52,6,9,Completed,205.24,2
ORD100116,2025-06-15,P015,Backpack,Accessories,S003,Metro Wholesale,Hyderabad WH,South,13,13,697.86,1258.02,12,18,3,5,Completed,90.35,0
ORD100117,2025-05-06,P015,Backpack,Accessories,S002,Prime Components,Delhi WH,North,6,6,706.9,1356.52,25,23,14,13,Completed,113.1,0
ORD100118,2025-05-03,P010,Desk Lamp,Furniture,S003,Metro Wholesale,Delhi WH,North,15,12,606.06,1090.97,28,26,13,12,Completed,149.79,1
ORD100119,2025-05-22,P013,Marker Set,Stationery,S003,Metro Wholesale,Pune WH,West,21,0,109.36,196.69,38,26,7,,Pending,257.41,0
ORD100120,2025-01-07,P012,Ball Pen Pack,Stationery,S008,Apex Supplies,Delhi WH,North,26,0,58.39,95.34,124,53,2,,Cancelled,253.98,0
ORD100121,2025-06-26,P013,Marker Set,Stationery,S005,Urban Supply Co,Mumbai WH,West,17,12,107.4,196.97,52,23,8,7,Completed,228.85,0
ORD100122,2025-01-28,P002,Mechanical Keyboard,Electronics,S004,Reliable Traders,Hyderabad WH,South,6,6,1452.36,2335.04,17,10,11,10,Completed,104.98,1
ORD100123,2025-03-27,P009,Bookshelf,Furniture,S008,Apex Supplies,Mumbai WH,West,5,4,2754.54,4220.9,5,5,10,9,Completed,82.0,0
ORD100124,2025-09-19,P001,Wireless Mouse,Electronics,S003,Metro Wholesale,Delhi WH,North,17,11,82.43,146.7,40,34,13,16,Completed,209.15,0
ORD100125,2025-02-15,P011,Notebook Pack,Stationery,S007,Global Goods India,Bengaluru WH,South,18,0,87.89,179.41,55,39,9,,Pending,208.24,0
ORD100126,2025-09-03,P007,Office Chair,Furniture,S006,National Distributors,Mumbai WH,West,7,0,4985.49,6905.6,4,9,7,,Pending,100.82,0
ORD100127,2025-11-01,P003,USB-C Cable,Electronics,S003,Metro Wholesale,Mumbai WH,West,24,23,124.05,244.17,47,36,5,4,Completed,300.53,0
ORD100128,2025-12-22,P002,Mechanical Keyboard,Electronics,S008,Apex Supplies,Mumbai WH,West,12,9,1468.52,2230.71,19,11,6,5,Completed,179.75,0
ORD100129,2025-08-22,P012,Ball Pen Pack,Stationery,S006,National Distributors,Bengaluru WH,South,35,25,59.06,96.42,117,54,11,9,Completed,277.68,0
ORD100130,2025-11-17,P003,USB-C Cable,Electronics,S008,Apex Supplies,Hyderabad WH,South,24,20,125.12,254.68,33,41,10,13,Completed,195.99,0
ORD100131,2025-06-22,P019,Running Shoes,Sports,S001,TechSource India,Hyderabad WH,South,17,17,1653.16,2953.79,47,16,15,13,Completed,179.63,1
ORD100132,2025-11-25,P012,Ball Pen Pack,Stationery,S003,Metro Wholesale,Mumbai WH,West,34,27,54.64,98.69,234,68,2,3,Completed,347.43,0
ORD100133,2025-10-09,P007,Office Chair,Furniture,S003,Metro Wholesale,Pune WH,West,8,0,4706.61,6887.85,4,8,12,,Pending,106.87,0
ORD100134,2025-11-30,P012,Ball Pen Pack,Stationery,S006,National Distributors,Mumbai WH,West,39,30,54.38,97.88,36,55,5,3,Completed,262.63,1
ORD100135,2025-11-30,P001,Wireless Mouse,Electronics,S007,Global Goods India,Bengaluru WH,South,17,17,87.03,152.32,23,27,12,15,Completed,206.26,0
ORD100136,2025-09-08,P019,Running Shoes,Sports,S001,TechSource India,Bengaluru WH,South,9,9,1851.48,2929.72,36,15,8,6,Completed,99.6,0
ORD100137,2025-03-23,P011,Notebook Pack,Stationery,S002,Prime Components,Pune WH,West,21,21,96.15,184.06,145,49,14,15,Completed,134.73,0
ORD100138,2025-01-18,P016,Laptop Sleeve,Accessories,S006,National Distributors,Pune WH,West,17,0,344.51,697.53,23,22,15,,Pending,233.1,0
ORD100139,2025-04-28,P002,Mechanical Keyboard,Electronics,S003,Metro Wholesale,Bengaluru WH,South,11,10,1462.51,2351.47,34,10,15,15,Completed,116.08,0
ORD100140,2025-04-19,P011,Notebook Pack,Stationery,S006,National Distributors,Mumbai WH,West,13,8,88.97,171.99,76,50,3,5,Completed,211.71,0
ORD100141,2025-12-07,P011,Notebook Pack,Stationery,S001,TechSource India,Mumbai WH,West,20,17,90.22,185.91,122,55,12,10,Completed,276.86,1
ORD100142,2025-01-14,P019,Running Shoes,Sports,S005,Urban Supply Co,Mumbai WH,West,8,0,1910.22,2955.73,23,13,5,,Pending,127.5,0
ORD100143,2025-07-18,P012,Ball Pen Pack,Stationery,S001,TechSource India,Hyderabad WH,South,31,31,56.05,95.53,28,58,14,12,Completed,315.55,0
ORD100144,2025-12-26,P010,Desk Lamp,Furniture,S008,Apex Supplies,Hyderabad WH,South,19,15,669.04,1106.49,28,19,12,15,Completed,242.17,0
ORD100145,2025-04-13,P005,Power Bank,Electronics,S002,Prime Components,Mumbai WH,West,11,10,651.44,1229.77,47,18,5,6,Completed,124.33,0
ORD100146,2025-07-30,P007,Office Chair,Furniture,S002,Prime Components,Delhi WH,North,5,5,4823.94,7032.94,9,6,2,2,Completed,120.86,0
ORD100147,2025-02-27,P011,Notebook Pack,Stationery,S001,TechSource India,Hyderabad WH,South,26,0,88.27,173.19,154,51,13,,Cancelled,267.3,0
ORD100148,2025-06-03,P010,Desk Lamp,Furniture,S002,Prime Components,Mumbai WH,West,18,1,652.85,1075.27,65,19,15,,Pending,191.53,0
ORD100149,2025-12-26,P001,Wireless Mouse,Electronics,S004,Reliable Traders,Pune WH,West,27,24,87.81,149.15,44,36,7,7,Completed,206.3,1
ORD100150,2025-09-02,P017,Water Bottle,Accessories,S005,Urban Supply Co,Mumbai WH,West,22,14,174.16,362.61,79,40,11,11,Completed,216.48,0
ORD100151,2025-07-14,P018,Desk Organizer,Accessories,S008,Apex Supplies,Hyderabad WH,South,14,13,143.51,300.77,134,40,7,10,Completed,143.76,1
ORD100152,2025-12-20,P003,USB-C Cable,Electronics,S008,Apex Supplies,Pune WH,West,31,21,116.85,260.1,105,39,9,9,Completed,279.06,0
ORD100153,2025-11-10,P011,Notebook Pack,Stationery,S001,TechSource India,Mumbai WH,West,28,27,91.04,177.99,64,49,9,9,Completed,224.16,2
ORD100154,2025-04-11,P002,Mechanical Keyboard,Electronics,S004,Reliable Traders,Hyderabad WH,South,6,6,1461.72,2280.86,45,17,8,8,Completed,113.58,0
ORD100155,2025-08-20,P014,Printer Paper,Stationery,S007,Global Goods India,Mumbai WH,West,15,10,219.69,355.35,92,30,5,8,Completed,225.24,0
ORD100156,2025-08-25,P005,Power Bank,Electronics,S002,Prime Components,Bengaluru WH,South,8,7,696.55,1181.26,87,27,4,6,Completed,95.33,0
ORD100157,2025-06-11,P014,Printer Paper,Stationery,S006,National Distributors,Hyderabad WH,South,15,12,205.9,354.72,41,45,7,10,Completed,94.28,0
ORD100158,2025-03-08,P015,Backpack,Accessories,S004,Reliable Traders,Hyderabad WH,South,13,11,684.65,1344.52,87,26,3,3,Completed,137.37,0
ORD100159,2025-11-09,P016,Laptop Sleeve,Accessories,S002,Prime Components,Mumbai WH,West,15,13,366.35,727.22,66,29,6,4,Completed,216.98,1
ORD100160,2025-02-28,P002,Mechanical Keyboard,Electronics,S001,TechSource India,Mumbai WH,West,12,1,1389.57,2287.55,38,14,10,,Pending,113.25,0
ORD100161,2025-05-10,P018,Desk Organizer,Accessories,S003,Metro Wholesale,Bengaluru WH,South,13,9,137.87,290.94,74,40,15,13,Completed,172.34,0
ORD100162,2025-04-01,P004,Bluetooth Speaker,Electronics,S001,TechSource India,Mumbai WH,West,6,6,947.62,1632.32,42,15,6,9,Completed,96.1,0
ORD100163,2025-10-07,P001,Wireless Mouse,Electronics,S002,Prime Components,Delhi WH,North,15,0,82.72,151.32,69,35,6,,Cancelled,225.28,0
ORD100164,2025-02-05,P011,Notebook Pack,Stationery,S005,Urban Supply Co,Delhi WH,North,26,21,86.89,177.34,159,49,4,6,Completed,154.05,0
ORD100165,2025-06-15,P008,Study Table,Furniture,S007,Global Goods India,Bengaluru WH,South,7,6,3340.9,5323.26,10,5,10,9,Completed,104.62,0
ORD100166,2025-11-04,P017,Water Bottle,Accessories,S005,Urban Supply Co,Bengaluru WH,South,22,22,181.99,352.54,117,54,13,11,Completed,311.89,1
ORD100167,2025-11-23,P016,Laptop Sleeve,Accessories,S006,National Distributors,Pune WH,West,19,17,339.88,690.39,79,32,6,8,Completed,119.67,0
ORD100168,2025-03-17,P006,LED Monitor,Electronics,S001,TechSource India,Delhi WH,North,5,4,6896.3,9974.05,5,9,3,5,Completed,124.39,0
ORD100169,2025-07-03,P019,Running Shoes,Sports,S003,Metro Wholesale,Hyderabad WH,South,11,9,1811.78,3084.75,24,21,5,4,Completed,78.87,0
ORD100170,2025-06-27,P005,Power Bank,Electronics,S006,National Distributors,Hyderabad WH,South,13,12,634.77,1221.99,33,25,9,12,Completed,95.52,0
ORD100171,2025-04-29,P011,Notebook Pack,Stationery,S001,TechSource India,Delhi WH,North,20,18,88.15,175.74,73,51,7,8,Completed,231.47,1
